timestamp,index,detector,feature,value,expected_range,confidence,severity,technique,description,true_label
2023-01-01 00:00:00,0,Isolation Forest,multi-feature,-0.5756,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5756. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-01 02:00:00,2,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7487.6,See rule definition,78,High,T0859 / T0855,Demand change of 336 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-01 03:00:00,3,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7946.1,See rule definition,78,High,T0859 / T0855,Demand change of 459 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-01 12:00:00,12,Isolation Forest,multi-feature,-0.5787,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5787. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-01 23:00:00,23,Isolation Forest,multi-feature,-0.5792,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5792. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-02 03:00:00,27,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8033.6,See rule definition,78,High,T0859 / T0855,Demand change of 569 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-03 01:00:00,49,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7230.7,See rule definition,78,High,T0859 / T0855,Demand change of 321 MW at 01:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-03 02:00:00,50,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7782.1,See rule definition,78,High,T0859 / T0855,Demand change of 551 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-03 04:00:00,52,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,8250.9,See rule definition,78,High,T0859 / T0855,Demand change of 315 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-04 01:00:00,73,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7603.7,See rule definition,78,High,T0859 / T0855,Demand change of 336 MW at 01:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-04 02:00:00,74,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7016.6,See rule definition,78,High,T0859 / T0855,Demand change of 587 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-04 03:00:00,75,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7908.1,See rule definition,78,High,T0859 / T0855,Demand change of 892 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-06 02:00:00,122,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7200.4,See rule definition,78,High,T0859 / T0855,Demand change of 594 MW at 02:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-06 04:00:00,124,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7709.1,See rule definition,78,High,T0859 / T0855,Demand change of 729 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-07 00:00:00,144,Isolation Forest,multi-feature,-0.5806,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5806. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-07 04:00:00,148,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7825.3,See rule definition,78,High,T0859 / T0855,Demand change of 715 MW at 04:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
2023-01-07 23:00:00,167,Isolation Forest,multi-feature,-0.5825,IF score > -0.1 (normal),90,High,Unknown — multi-feature deviation,"Multi-dimensional anomaly: IF anomaly score -0.5825. Combination of demand, frequency, power factor, and time features is statistically unusual.",Normal
2023-01-08 03:00:00,171,OT Rule: OFFHOURS_DEMAND_CHANGE,OFFHOURS_DEMAND_CHANGE,7529.7,See rule definition,78,High,T0859 / T0855,Demand change of 314 MW at 03:00 (off-peak hours). Natural load variation at this hour typically <150 MW. Possible unauthorised operator access.,Normal
